denumire client,numar factura,total,rest plata,zona / agent
VESTDAVA RETAIL AND SERVICES SRL DEVA,DMEG 8661,1814.31,1814.31,Hunedoara
VESTDAVA RETAIL AND SERVICES SRL DEVA,DMEG 8689,314.65,314.65,Hunedoara
VESTDAVA RETAIL AND SERVICES SRL DEVA,DMEG 8724,531.07,531.07,Hunedoara
VESTDAVA RETAIL AND SERVICES SRL DEVA,DMEG 8846,2070.84,2070.84,Hunedoara
VESTDAVA RETAIL AND SERVICES SRL DEVA,DMEG 8877,2696.18,2696.18,Hunedoara
VESTDAVA RETAIL AND SERVICES SRL DEVA,DMEG 8947,3607.99,3607.99,Hunedoara
VIAVIX TEAM TRANS S.R.L. HUNEDOARA,DMEG 4065,3470.57,10.98,Hunedoara
VOX ZECOR S.R.L. NALAT-VAD  HATEG,DMEG 7577,883.75,314.72,Hunedoara
VOX ZECOR S.R.L. NALAT-VAD  HATEG,DMEG 7958,887.63,887.63,Hunedoara
VRT AUTO S.R.L. LUPSA,DMEG 8823,784.52,775.48,Alba
VRT AUTO S.R.L. LUPSA,DMEG 8901,3242.51,3242.51,Alba
VRT AUTO S.R.L. LUPSA,DMEG 8973,188.76,188.76,Alba
